	adm0_name	adm1_name	ndate	mp_price
0	Mali	Bamako	2003-01-01	250.0
1	Mali	Bamako	2003-02-01	250.0
2	Mali	Bamako	2003-03-01	250.0
3	Mali	Bamako	2003-04-01	250.0
4	Mali	Bamako	2003-05-01	250.0
5	Mali	Bamako	2003-06-01	250.0
6	Mali	Bamako	2003-07-01	250.0
7	Mali	Bamako	2003-08-01	250.0
8	Mali	Bamako	2003-09-01	250.0
9	Mali	Bamako	2003-10-01	250.0
10	Mali	Bamako	2003-11-01	250.0
11	Mali	Bamako	2003-12-01	250.0
12	Mali	Bamako	2004-01-01	250.0
13	Mali	Bamako	2004-02-01	233.33000000000001
14	Mali	Bamako	2004-03-01	243.75
15	Mali	Bamako	2004-04-01	250.0
16	Mali	Bamako	2004-05-01	253.75
17	Mali	Bamako	2004-06-01	273.0
18	Mali	Bamako	2004-07-01	275.0
19	Mali	Bamako	2004-08-01	265.0
20	Mali	Bamako	2004-09-01	260.0
