ADMINLVL	AGRIC	BUSH_FOOD	CCODE2K4	DCODE_2K4	DRY	FID	FOOD_SEC	HEALTH	HEA_FUNCT	HHLD	IDP	NAME_WS	NAME_WS_1	OID_	POP	P_CODE	P_CODE_1	QC_GEO_WS	RETURN_	SCHOOL	SCH_FUNCT	SIZE	TRAV_TIME	WET	X_COORD	Y_COORD	OBJECTID	geometry	country_code	sdr_id	sdr_name	sdr_level
06	" "	" "	24	2406	Y	329	" "	Y	Y	200.00	P	W.R.C.	W.R.C.	231	1000.00	LA2406091	LA2406091	4	P	Y	Y	" "	0.00	Y	-10.21	6.69	374	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.20763,6.6894300000001]}"""	LR	0		
06	" "	" "	24	2406	Y	330	" "	Y	Y	45.00	P	"Klanah town"	"Klanah town"	228	225.00	LA2406092	LA2406092	4	P	N	N	" "	0.00	Y	-10.21	6.69	375	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.20589,6.6911800000001]}"""	LR	0		
07	" "	" "	24	2406	Y	331	" "	Y	Y	20.00	P	"Bennie N. Urey Farm"	"Bennie N. Urey Farm"	224	100.00	LA2406031	LA2406031	4	P	N	N	" "	0.00	Y	-10.29	6.59	376	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.29388,6.58826]}"""	LR	0		
06	" "	" "	30	3004	Y	332	" "	Y	Y	200.00	S	"Jamaica Road"	"Jamaica Road"	278	1000.00	LB3004002	LB3004002	4	S	Y	Y	" "	0.00	Y	-10.78	6.35	377	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.78365,6.34558]}"""	LR	0		
06	" "	" "	30	3004	Y	333	" "	Y	Y	175.00	S	"Sayon Town"	"Sayon Town"	290	875.00	LB3004003	LB3004003	4	S	Y	Y	" "	0.00	Y	-10.78	6.35	378	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.78373,6.3482200000001]}"""	LR	0		
06	" "	" "	30	3004	Y	334	" "	Y	Y	150.00	S	"St. Peter Town"	"St. Peter Town"	291	750.00	LB3004004	LB3004004	4	S	Y	Y	" "	0.00	Y	-10.78	6.36	379	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.78333,6.35789]}"""	LR	0		
06	" "	" "	30	3004	Y	335	" "	Y	Y	100.00	S	"Bong Mine Bridge"	"Bong Mine Bridge"	265	500.00	LB3004005	LB3004005	4	S	Y	Y	" "	0.00	Y	-10.78	6.36	380	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.78309,6.3638900000001]}"""	LR	0		
06	" "	" "	30	3004	Y	336	" "	Y	Y	95.00	S	"Caldwell Junction"	"Caldwell Junction"	267	475.00	LB3004006	LB3004006	4	S	Y	Y	" "	0.00	Y	-10.78	6.37	381	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.78445,6.3676500000001]}"""	LR	0		
05	" "	" "	30	3004	Y	337	" "	Y	Y	550.00	S	Duala	Duala	271	2750.00	LB3004007	LB3004007	4	S	Y	Y	" "	0.00	Y	-10.78	6.38	382	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.78437,6.3774000000001]}"""	LR	0		
06	" "	" "	30	3004	Y	338	" "	Y	Y	250.00	S	"Point Four"	"Point Four"	287	1250.00	LB3004066	LB3004066	4	S	Y	Y	" "	0.00	Y	-10.79	6.37	383	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.78709,6.36573]}"""	LR	73835	"Point Four"	PPL
