ADMINLVL	AGRIC	BUSH_FOOD	CCODE2K4	DCODE_2K4	DRY	FID	FOOD_SEC	HEALTH	HEA_FUNCT	HHLD	IDP	KINDS_OF_F	NAME_WS	NO__OF_PRO	OID1	OID_	POLICE_STA	POP	P_CODE	P_CODE_1	P_CODE_12	QC_GEO_WS	RETURN_	SCHOOL	SCH_FUNCT	SIZE	STATUS	TRAV_TIME	WET	X_COORD	Y_COORD	OBJECTID	geometry	country_code	sdr_id	sdr_name	sdr_level
06	P	" "	12	1210	Y	15	" "	Y	Y	67.00	P	2.00	Tiene	3.00	7	9	2.00	335.00	LR0300367	LR0300367	LR0300367	1	S	Y	Y	" "	Ongoing	0.00	Y	-11.31	6.97	15	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.31279,6.9675100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	73328	Tiene	PPL
02	" "	S	03	0302	" "	16	B	Y	Y	2000.00	P	3.00	Tubmanburg	3.00	8	11	1.00	10000.00	LR0400295	LR0400295	LR0400295	1	S	Y	Y	C	Planned	4.00	" "	-10.83	6.87	16	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.82806,6.87111],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
02	" "	" "	30	3002	" "	17	" "	" "	" "	0.00	" "	2.00	Bensonville	2.00	9	12	1.00	0.00	LR0500020	LR0500020	LR0500020	9	" "	" "	" "	" "	Completed	0.00	" "	-10.61	6.45	17	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.6125,6.4461100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5927	Bentol	ADM1
01	" "	" "	30	3004	" "	18	" "	" "	" "	0.00	" "	3.00	Monrovia	12.00	10	14	1.00	0.00	LR0500155	LR0500155	LR0500155	9	" "	" "	" "	" "	Ongoing	0.00	" "	-10.80	6.31	18	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.80472,6.3105600000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	74188	Monrovia	PPL
05	" "	" "	30	3004	" "	19	" "	" "	" "	0.00	" "	2.00	Paynesville	3.00	11	15	1.00	0.00	LR0500175	LR0500175	LR0500175	9	" "	" "	" "	" "	Ongoing	0.00	" "	-10.71	6.27	19	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.70908,6.26752],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	73912	Paynesville	PPL
05	" "	" "	30	3004	" "	20	" "	" "	" "	0.00	" "	1.00	Westpoint	1.00	12	16	1.00	0.00	LR0500224	LR0500224	LR0500224	9	" "	" "	" "	" "	Ongoing	0.00	" "	-10.81	6.33	20	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.80618,6.3271100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
02	" "	" "	24	2406	" "	21	" "	" "	" "	0.00	" "	3.00	Kakata	7.00	13	18	1.00	0.00	LR0600117	LR0600117	LR0600117	1	" "	" "	" "	" "	Planned	0.00	" "	-10.35	6.53	21	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.35167,6.5300000000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6852	Kakata	ADM1
02	" "	" "	06	0604	Y	22	" "	Y	Y	1000.00	S	3.00	Gbarnga	5.00	15	21	1.00	5000.00	LR0700187	LR0700187	LR0700187	1	P	Y	Y	" "	Planned	0.00	Y	-9.47	7.00	22	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.4722199999999,6.9955600000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
02	" "	" "	09	0910	Y	23	" "	Y	Y	7050.00	P	3.00	Buchanan	5.00	20	25	1.00	35250.00	LR0900184	LR0900184	LR0900184	1	S	Y	Y	" "	Planned	0.00	Y	-10.05	5.88	23	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.04667,5.8808300000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	73183	"Upper Buchanan"	PPL
02	" "	" "	36	3604	Y	24	" "	Y	Y	200.00	S	3.00	"Cestos City"	4.00	21	26	1.00	1000.00	LR1000182	LR1000182	LR1000182	1	S	Y	Y	" "	Planned	0.00	Y	-9.58	5.46	24	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.58278,5.4600000000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
02	" "	" "	21	2118	Y	25	" "	Y	N	3500.00	S	3.00	Voinjama	6.00	29	32	1.00	17500.00	LR9900002	LR9900002	LR9900002	1	S	Y	Y	" "	Planned	0.00	Y	-9.75	8.42	25	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.7526099999999,8.4224800000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7615	Voinjama	ADM1
07	" "	" "	06	0602	Y	26	" "	N	N	5.00	A	1.00	"Bong Town"	1.00	14	20	1.00	25.00	LR0700063	LR0700063	LR0700063	3	S	N	N	" "	"Not Started"	0.00	Y	-10.36	6.81	26	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.3558,6.80827],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	76324	"Bong Town"	PPL
02	" "	" "	39	3906	Y	27	" "	N	N	300.00	A	4.00	Greenville	12.00	22	27	1.00	1500.00	LR1100057	LR1100057	LR1100057	2	P	Y	Y	" "	Ongoing	0.00	Y	-9.04	5.01	27	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.0388899999999,5.0111100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5581	Greenville	ADM2
