pos	adm0_id	adm0_name	adm1_id	adm1_name	mkt_id	mkt_name	cm_id	cm_name	cur_id	cur_name	pt_id	pt_name	um_id	um_name	month_year	mp_month	mp_year	mp_price	mp_commoditysource	sdr_id	sdr_name	sdr_level
22	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41913	10	2014	20000	WFP	1	Boke	ADM1
23	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41883	9	2014	20000	WFP	1	Boke	ADM1
24	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41852	8	2014	20000	WFP	1	Boke	ADM1
25	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41821	7	2014	20000	WFP	1	Boke	ADM1
26	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41791	6	2014	20000	WFP	1	Boke	ADM1
27	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41760	5	2014	20000	WFP	1	Boke	ADM1
28	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41730	4	2014	20000	WFP	1	Boke	ADM1
29	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41699	3	2014	2000	WFP	1	Boke	ADM1
30	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41671	2	2014	20000	WFP	1	Boke	ADM1
31	106	Guinea	40700	Boke	1639	Boke	109	Meat	54	GNF	15	Retail	5	KG	41640	1	2014	20000	WFP	1	Boke	ADM1
32	106	Guinea	40700	Boke	1639	Boke	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41913	10	2014	10000	WFP	1	Boke	ADM1
33	106	Guinea	40700	Boke	1639	Boke	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41883	9	2014	10000	WFP	1	Boke	ADM1
34	106	Guinea	40700	Boke	1639	Boke	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41852	8	2014	9500	WFP	1	Boke	ADM1
35	106	Guinea	40700	Boke	1639	Boke	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41821	7	2014	9000	WFP	1	Boke	ADM1
36	106	Guinea	40700	Boke	1639	Boke	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41791	6	2014	9500	WFP	1	Boke	ADM1
37	106	Guinea	40700	Boke	1639	Boke	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41760	5	2014	9000	WFP	1	Boke	ADM1
