adm0_name	cm_name		mp_price
Guinea	"Rice (Local)"		9000
Guinea	"Rice (Local)"		9000
Guinea	"Rice (Local)"		9000
Guinea	"Rice (Local)"		8500
Guinea	"Rice (Local)"		8500
Guinea	"Rice (Local)"		8000
Guinea	"Rice (Local)"		7750
Guinea	"Rice (Local)"		6250
Guinea	"Rice (Local)"		5950
Guinea	"Rice (Local)"		5500
Guinea	"Rice (Local)"		6167
Guinea	"Rice (Local)"		5500
Guinea	"Rice (Local)"		5500
Guinea	"Rice (Local)"		5500
Guinea	"Rice (Local)"		5500
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		5000
Guinea	"Rice (Local)"		3750
Guinea	"Rice (Local)"		3920
Guinea	"Rice (Local)"		4441.5
Guinea	"Rice (Local)"		4683
Guinea	"Rice (Local)"		4787.5
Guinea	"Rice (Local)"		4900
Guinea	"Rice (Local)"		4794
Guinea	"Rice (Local)"		4712.5
Guinea	"Rice (Local)"		4420.5
Guinea	"Rice (Local)"		4030
Guinea	"Rice (Local)"		4169
Guinea	"Rice (Local)"		4500
Guinea	"Rice (Local)"		4412.5
Guinea	"Rice (Local)"		4624.5
Guinea	"Rice (Local)"		5549.5
Guinea	"Rice (Local)"		5900
Guinea	"Rice (Local)"		5512.5
Guinea	"Rice (Local)"		5464.5
Guinea	"Rice (Local)"		5170
Guinea	"Rice (Local)"		4800
Guinea	"Rice (Local)"		3925
Guinea	"Rice (Local)"		3550
Guinea	"Rice (Local)"		3225
Guinea	"Rice (Local)"		3100
Guinea	Sugar		9000
Guinea	Sugar		9000
Guinea	Sugar		9000
Guinea	Sugar		10000
Guinea	Beans		6000
Guinea	Beans		6000
Guinea	Beans		6000
Guinea	Beans		8000
Guinea	Beans		8000
Guinea	Beans		8000
Guinea	Beans		6500
Guinea	Beans		6500
Guinea	Beans		7500
Guinea	Beans		7000
Guinea	Beans		7000
Guinea	Beans		7000
Guinea	Beans		8000
Guinea	Beans		8000
Guinea	Beans		8000
Guinea	Beans		8000
Guinea	Beans		8000
Guinea	Beans		8000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2000
Guinea	Bread		2500
Guinea	Bread		2500
Guinea	Bread		9000
Guinea	Bread		2000
Guinea	Fish		20000
Guinea	Gari		5000
Guinea	Gari		5000
Guinea	Gari		7000
Guinea	Gari		1000
Guinea	"Maize Grains"		5000
Guinea	Meat		27000
Guinea	Meat		27000
Guinea	Meat		27000
Guinea	Meat		25000
Guinea	Meat		27000
Guinea	Meat		28000
Guinea	Meat		27000
Guinea	Meat		27000
Guinea	Meat		27000
Guinea	Meat		28000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		25000
Guinea	Meat		26000
Guinea	Meat		3000
Guinea	Meat		25000
Guinea	"Oil (Palm)"		9000
Guinea	"Oil (Palm)"		16000
Guinea	"Oil (Palm)"		15000
Guinea	"Oil (Palm)"		15000
Guinea	"Oil (Palm)"		13000
Guinea	"Oil (Palm)"		13000
Guinea	"Oil (Palm)"		13000
Guinea	"Oil (Palm)"		9000
Guinea	"Oil (Palm)"		12000
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		10000
Guinea	"Oil (Palm)"		9000
Guinea	"Oil (Palm)"		9000
Guinea	"Oil (Palm)"		15000
Guinea	"Oil (Palm)"		15000
Guinea	"Oil (Palm)"		15000
Guinea	"Oil (Palm)"		15000
Guinea	"Oil (Palm)"		14500
Guinea	"Oil (Palm)"		14000
Guinea	"Oil (Palm)"		14000
